listing_status,list_price,beds,baths,sqft_living,lot_sqft,year_built,city,zip_code,latitude,longitude,hoa_fee,days_on_market,price_per_sqft,listing_type,parking_garage,stories,house_age,baths_per_bed,total_rooms,sqft_per_bed,log_list_price,log_sqft_living,property_type_LAND,property_type_MOBILE,property_type_MULTI_FAMILY,property_type_SINGLE_FAMILY,property_type_TOWNHOMES
FOR_SALE,475900,1.0,1.0,667.0,39.0,2023.0,Austin,78701,30.259644,-97.737477,508.0,33.0,713.0,for_sale,1.0,1.0,3.0,1.0,2.0,667.0,13.072965128388777,6.504288173536645,0,0,0,0,0
FOR_SALE,679900,1.0,1.0,893.0,74.0,2021.0,Austin,78701,30.256396,-97.738839,817.0,116.0,761.0,for_sale,1.0,1.0,5.0,1.0,2.0,893.0,13.429702478318,6.795705775173514,0,0,0,0,0
PENDING,850000,1.0,1.0,1225.0,,2008.0,Austin,78701,30.264605,-97.744431,1251.0,38.0,694.0,for_sale,1.0,1.0,18.0,1.0,2.0,1225.0,13.652992804936396,7.111512116496157,0,0,0,0,0
PENDING,875000,3.0,2.0,1743.0,1359.0,1983.0,Austin,78701,30.255205,-97.738057,1369.0,47.0,502.0,for_sale,2.0,1.0,43.0,0.6666666666666666,5.0,581.0,13.681980308196241,7.463936604468925,0,0,0,0,0
FOR_SALE,599000,1.0,1.0,892.0,17154.0,2024.0,Austin,78701,30.259644,-97.737477,705.0,168.0,672.0,for_sale,1.0,1.0,2.0,1.0,2.0,892.0,13.303018546545275,6.794586580876499,0,0,0,0,0
FOR_SALE,499000,1.0,1.0,893.0,74.0,2021.0,Austin,78701,30.256396,-97.738839,796.0,156.0,559.0,for_sale,,1.0,5.0,1.0,2.0,893.0,13.120363378739663,6.795705775173514,0,0,0,0,0
FOR_SALE,1895000,3.0,3.0,1993.0,157.0,2019.0,Austin,78701,30.255883,-97.73894,1660.0,100.0,951.0,for_sale,2.0,1.0,7.0,1.0,6.0,664.3333333333334,14.45472992420301,7.597897950521784,0,0,0,0,0
FOR_SALE,2495000,2.0,2.0,1378.0,309.0,2010.0,Austin,78701,30.261884,-97.742441,1464.0,23.0,1811.0,for_sale,2.0,1.0,16.0,1.0,4.0,689.0,14.72979968796928,7.229113877793302,0,0,0,0,0
FOR_SALE,565000,1.0,1.0,614.0,,2025.0,Austin,78701,30.260347,-97.738564,473.0,61.0,920.0,for_sale,,1.0,1.0,1.0,2.0,614.0,13.244582780038517,6.421622267806518,0,0,0,0,0
FOR_SALE,735000,2.0,2.0,1058.0,87.0,2024.0,Austin,78701,30.259644,-97.737477,835.0,167.0,695.0,for_sale,1.0,1.0,2.0,1.0,4.0,529.0,13.507627138738266,6.9650803456014065,0,0,0,0,0
FOR_SALE,995000,2.0,2.0,1454.0,,2004.0,Austin,78701,30.265377,-97.737817,1229.0,101.0,684.0,for_sale,2.0,1.0,22.0,1.0,4.0,727.0,13.81049902116535,7.282761179605593,0,0,0,0,0
FOR_SALE,325000,2.0,2.0,1360.0,1059.0,1983.0,Austin,78701,30.255205,-97.738057,1092.0,3.0,239.0,for_sale,2.0,1.0,43.0,1.0,4.0,680.0,12.691583538230217,7.215975002651466,0,0,0,0,0
FOR_SALE,485000,1.0,1.0,685.0,196.0,2014.0,Austin,78701,30.267402,-97.752016,679.0,94.0,708.0,for_sale,1.0,1.0,12.0,1.0,2.0,685.0,13.091906231773164,6.530877627725885,0,0,0,0,0
FOR_SALE,1070000,2.0,2.0,1897.0,240.0,2002.0,Austin,78701,30.26789,-97.746508,1951.0,103.0,564.0,for_sale,2.0,1.0,24.0,1.0,4.0,948.5,13.883170141017091,7.5485559791698735,0,0,0,0,0
FOR_SALE,519000,1.0,1.0,801.0,87.0,2008.0,Austin,78701,30.267661,-97.749622,764.0,18.0,648.0,for_sale,1.0,1.0,18.0,1.0,2.0,801.0,13.159661088928443,6.687108607866515,0,0,0,0,0
